,aircraft_code,airline_iata,airline_icao,altitude,callsign,destination_airport_iata,ground_speed,heading,icao_24bit,id,latitude,longitude,number,on_ground,origin_airport_iata,registration,squawk,time,vertical_speed,get_altitude,get_flight_level,get_ground_speed,get_heading,get_vertical_speed
0,A20N,U2,EZY,8050,EZY2083,TLV,269,113,407A05,2f7ea783,32.3473,34.5452,U22083,0,LTN,G-UZLL,N/A,1678635124,-256,8050 ft,8050 ft,269 kts,113°,-256 fpm
1,A320,EC,EZY,600,EJU9582,BER,134,248,440191,2f7eab89,52.3635,13.5447,EC9582,0,FNC,OE-INB,N/A,1678635121,-768,600 ft,600 ft,134 kts,248°,-768 fpm
2,A20N,U2,EZY,37975,EZY78GC,LGW,423,299,407795,2f7ead3b,43.5951,17.8336,U28454,0,PFO,G-UZLC,N/A,1678635123,0,37975 ft,379 FL,423 kts,299°,0 fpm
3,A20N,U2,EZY,0,EJU3EF,MXP,12,253,440CBE,2f7eb187,45.6237,8.7213,U22564,1,TLV,OE-LSN,N/A,1678635123,0,0 ft,0 ft,12 kts,253°,0 fpm
4,A320,U2,EZY,0,EZY79PZ,LGW,4,345,406229,2f7eb35d,51.155,-0.1684,U26406,1,ATH,G-EZTR,N/A,1678635123,0,0 ft,0 ft,4 kts,345°,0 fpm
5,A20N,U2,EZY,21625,EJU68RD,MXP,294,311,440CC1,2f7eb4ab,44.6151,9.4927,U22798,0,SSH,OE-LSP,N/A,1678635123,-1088,21625 ft,216 FL,294 kts,311°,-1088 fpm
6,A20N,U2,EZY,37600,EZS1526,GVA,385,284,4B027C,2f7eb6e6,45.424,9.5195,U21526,0,TLV,HB-AYM,N/A,1678635124,-1152,37600 ft,376 FL,385 kts,284°,-1152 fpm
7,A320,U2,EZY,36025,EJU5202,BER,393,331,4408C9,2f7ebbb9,50.2774,17.5095,U25202,0,TLV,OE-IJU,N/A,1678635123,0,36025 ft,360 FL,393 kts,331°,0 fpm
8,A320,U2,EZY,38000,EJU62XT,LYS,451,50,44017B,2f7ebe4f,37.907,-6.0661,U24440,0,FUE,OE-IJG,N/A,1678635123,0,38000 ft,380 FL,451 kts,50°,0 fpm
9,A21N,U2,EZY,34950,EZY93VH,TFS,421,213,407667,2f7ec008,31.7789,-14.9308,U28709,0,LGW,G-UZMD,N/A,1678635123,0,34950 ft,349 FL,421 kts,213°,0 fpm
10,A320,U2,EZY,36975,EJU63LF,FNC,396,228,440380,2f7ec531,34.5796,-14.3541,U22817,0,MXP,OE-IZP,N/A,1678635117,0,36975 ft,369 FL,396 kts,228°,0 fpm
11,A20N,U2,EZY,37050,EZY9902,MAN,496,36,4074B8,2f7ec83d,52.8796,-6.3202,U29902,0,TFS,G-UZHH,N/A,1678635123,0,37050 ft,370 FL,496 kts,36°,0 fpm
12,A320,EC,EZY,36000,EJU9924,BER,463,23,440395,2f7eca06,43.9548,-4.2183,EC9924,0,FUE,OE-IZO,N/A,1678635122,0,36000 ft,360 FL,463 kts,23°,0 fpm
13,A20N,DS,EZY,37425,EZS9226,BSL,464,48,4B0274,2f7ecb62,47.1329,-0.2939,DS9226,0,TFS,HB-AYE,N/A,1678635122,-960,37425 ft,374 FL,464 kts,48°,-960 fpm
14,A20N,U2,EZY,38000,EJU92TN,AMS,456,37,440C34,2f7ecd0a,46.4697,-1.7579,U27942,0,TFS,OE-LSI,N/A,1678635124,0,38000 ft,380 FL,456 kts,37°,0 fpm
15,A320,U2,EZY,36975,EZS59LA,OPO,398,244,4B1A29,2f7ecdcf,42.9568,-1.4634,U21455,0,GVA,HB-JXP,N/A,1678635124,0,36975 ft,369 FL,398 kts,244°,0 fpm
16,A320,U2,EZY,35975,EZY94NR,MAN,358,306,40666D,2f7ecfbe,48.2897,10.5261,U21822,0,AYT,G-EZUT,N/A,1678635122,0,35975 ft,359 FL,358 kts,306°,0 fpm
17,A320,U2,EZY,36025,EJU3738,CDG,406,294,4400E3,2f7ed07a,44.2152,16.3503,U23738,0,TLV,OE-IVS,N/A,1678635122,0,36025 ft,360 FL,406 kts,294°,0 fpm
18,A20N,U2,EZY,37025,EJU81PV,MXP,512,172,440C35,2f7ed0e3,50.7962,7.5365,U22934,0,KEF,OE-LSA,N/A,1678635123,0,37025 ft,370 FL,512 kts,172°,0 fpm
