,aircraft_code,airline_iata,airline_icao,altitude,callsign,destination_airport_iata,ground_speed,heading,icao_24bit,id,latitude,longitude,number,on_ground,origin_airport_iata,registration,squawk,time,vertical_speed,get_altitude,get_flight_level,get_ground_speed,get_heading,get_vertical_speed
0,A20N,U2,EZY,8000,EZY31YB,LGW,262,327,40756B,2f821f6e,50.9707,0.348,U28286,0,SSH,G-UZHL,N/A,1678742755,-1664,8000 ft,8000 ft,262 kts,327°,-1664 fpm
1,A320,U2,EZY,36050,EJU3738,CDG,421,311,440176,2f823dbd,46.6788,6.3699,U23738,0,TLV,OE-IJF,N/A,1678742757,128,36050 ft,360 FL,421 kts,311°,128 fpm
2,A20N,U2,EZY,37000,EZY35NT,TFS,444,190,40772D,2f824602,29.6349,-16.8878,U26949,0,EDI,G-UZHX,N/A,1678742756,-64,37000 ft,370 FL,444 kts,190°,-64 fpm
3,A20N,U2,EZY,38050,EZY34PJ,LTN,395,306,407A05,2f825031,47.061,13.0094,U22342,0,HRG,G-UZLL,N/A,1678742757,0,38050 ft,380 FL,395 kts,306°,0 fpm
4,A320,U2,EZY,36025,EJU2958,MXP,381,297,440A8F,2f82560c,43.708,11.5768,U22958,0,RMF,OE-IZB,N/A,1678742755,-64,36025 ft,360 FL,381 kts,297°,-64 fpm
5,A320,U2,EZY,36025,EJU5206,BER,395,320,44023F,2f82577c,49.2644,16.8959,U25206,0,TLV,OE-ICD,N/A,1678742756,0,36025 ft,360 FL,395 kts,320°,0 fpm
6,A20N,U2,EZY,4525,EZY94RN,LTN,271,59,407569,2f82584b,51.9347,-0.215,U22026,0,ACE,G-UZHJ,N/A,1678742757,-1088,4525 ft,4525 ft,271 kts,59°,-1088 fpm
7,A20N,U2,EZY,34950,EZY63HY,LPL,474,32,407797,2f8258b8,52.2384,-6.8868,U27170,0,TFS,G-UZLF,N/A,1678742757,-128,34950 ft,349 FL,474 kts,32°,-128 fpm
8,A20N,U2,EZY,37950,EZY65EC,GLA,455,21,4073A1,2f825f97,51.6204,-7.7123,U26806,0,LPA,G-UZHD,N/A,1678742755,-64,37950 ft,379 FL,455 kts,21°,-64 fpm
9,A320,U2,EZY,28700,EJU31NP,MXP,508,26,44083F,2f8261a5,44.0517,8.2538,U22588,0,TFS,OE-IVV,N/A,1678742757,-3264,28700 ft,287 FL,508 kts,26°,-3264 fpm
10,A319,DS,EZY,1800,EZS9070,GVA,105,355,4B1A3D,2f827067,45.6698,5.0953,DS9070,0,SOF,HB-JYJ,N/A,1678742756,-576,1800 ft,1800 ft,105 kts,355°,-576 fpm
11,A320,U2,EZY,32250,EZY89MK,LTN,427,301,4074B2,2f8272ea,51.2883,3.4121,U22418,0,NAP,G-EZRT,N/A,1678742757,-2240,32250 ft,322 FL,427 kts,301°,-2240 fpm
12,A320,U2,EZY,12850,EJU32CH,CDG,345,89,4402F1,2f827874,48.9176,2.5679,U23870,0,RAK,OE-INP,N/A,1678742754,-1024,12850 ft,128 FL,345 kts,89°,-1024 fpm
13,A21N,U2,EZY,36025,EZY34WF,LGW,461,32,40768C,2f8279e0,39.1647,-7.4968,U28684,0,ACE,G-UZME,N/A,1678742755,0,36025 ft,360 FL,461 kts,32°,0 fpm
14,A20N,U2,EZY,35975,EZY57NK,BRS,426,309,40772F,2f827f91,51.161,0.1642,U26186,0,FCO,G-UZHZ,N/A,1678742757,-64,35975 ft,359 FL,426 kts,309°,-64 fpm
15,A21N,U2,EZY,35950,EZY34MD,BRS,440,6,40768D,2f827fc8,43.2634,-4.9204,U26096,0,TFS,G-UZMF,N/A,1678742757,-64,35950 ft,359 FL,440 kts,6°,-64 fpm
16,A320,U2,EZY,34450,EJU89AR,NCE,504,45,4400C8,2f828208,40.9154,1.5711,U21690,0,RAK,OE-IVQ,N/A,1678742755,-704,34450 ft,344 FL,504 kts,45°,-704 fpm
17,A320,U2,EZY,600,EZY78WB,BCN,125,245,40756E,2f828408,41.301,2.1288,U26025,0,BRS,G-EZGX,N/A,1678742757,-704,600 ft,600 ft,125 kts,245°,-704 fpm
18,A319,U2,EZY,37975,EZY37FE,LGW,456,326,400EFD,2f8284f5,48.7929,2.86,U28826,0,MLA,G-EZBC,N/A,1678742756,0,37975 ft,379 FL,456 kts,326°,0 fpm
19,A320,U2,EZY,38000,EZY81MJ,LGW,392,312,406D92,2f8286f3,47.6467,10.2307,U28088,0,ATH,G-EZOM,N/A,1678742755,-64,38000 ft,380 FL,392 kts,312°,-64 fpm
20,A20N,U2,EZY,35975,EZS34AT,BSL,527,46,4B027D,2f82874b,45.1864,4.6176,U21160,0,RAK,HB-AYN,N/A,1678742757,128,35975 ft,359 FL,527 kts,46°,128 fpm
21,A20N,U2,EZY,37000,EZY53LA,MAN,396,19,4074B8,2f82878c,43.5617,-10.1984,U21904,0,TFS,G-UZHH,N/A,1678742755,0,37000 ft,370 FL,396 kts,19°,0 fpm
22,A20N,U2,EZY,34000,EZY47DX,MAN,392,318,407A06,2f8287d4,39.1206,21.5626,U21886,0,HRG,G-UZLM,N/A,1678742755,0,34000 ft,340 FL,392 kts,318°,0 fpm
23,A320,U2,EZY,38000,EZY2000,MAN,458,338,40643B,2f8287ed,49.4905,2.5704,U22000,0,NBE,G-EZTY,N/A,1678742756,64,38000 ft,380 FL,458 kts,338°,64 fpm
24,A21N,U2,EZY,34050,EJU8MN,MXP,410,311,440612,2f82898a,41.9589,21.667,U22566,0,TLV,OE-ISE,N/A,1678742756,64,34050 ft,340 FL,410 kts,311°,64 fpm
25,A320,U2,EZY,0,EZY79ZH,LGW,13,78,406D95,2f828993,51.1483,-0.2025,U28178,1,SVQ,G-EZOP,N/A,1678742753,0,0 ft,0 ft,13 kts,78°,0 fpm
26,A320,U2,EZY,0,EJU97NU,CDG,23,87,44017B,2f828ac8,49.0193,2.5477,U23818,1,KRK,OE-IJG,N/A,1678742744,0,0 ft,0 ft,23 kts,87°,0 fpm
27,A320,U2,EZY,36000,EZY39ZT,LGW,463,35,406542,2f828ae1,45.746,-5.9902,U28138,0,FNC,G-EZUI,N/A,1678742755,64,36000 ft,360 FL,463 kts,35°,64 fpm
28,A320,U2,EZY,3400,EJU31WB,CDG,129,264,4400B9,2f829031,49.0053,2.8031,U23936,0,LIN,OE-IVN,N/A,1678742755,-576,3400 ft,3400 ft,129 kts,264°,-576 fpm
29,A320,U2,EZY,35975,EZY41XF,LTN,395,309,40690D,2f829249,44.316,17.987,U22184,0,AYT,G-EZWL,N/A,1678742755,-64,35975 ft,359 FL,395 kts,309°,-64 fpm
30,A320,U2,EZY,38000,EJU53XP,LYS,500,39,44083C,2f829378,40.1976,-3.2659,U24380,0,ACE,OE-IJQ,N/A,1678742756,128,38000 ft,380 FL,500 kts,39°,128 fpm
31,A319,U2,EZY,18650,EJU93ZH,NAP,386,149,4401E8,2f829563,41.8124,13.8656,U24892,0,AMS,OE-LQC,N/A,1678742755,-1856,18650 ft,186 FL,386 kts,149°,-1856 fpm
32,A319,U2,EZY,10025,EZY21NU,LGW,324,59,400FE0,2f82956b,50.8076,-0.3083,U28280,0,MAD,G-EZBO,N/A,1678742755,-1088,10025 ft,100 FL,324 kts,59°,-1088 fpm
33,A20N,U2,EZY,36000,EZY1828,MAN,401,309,4072C7,2f82969a,40.5901,23.8035,U21828,0,TLV,G-UZHA,N/A,1678742756,0,36000 ft,360 FL,401 kts,309°,0 fpm
34,A320,U2,EZY,0,EJU364Q,NCE,7,261,440051,2f829788,43.6623,7.2069,U24071,1,ORY,OE-IVD,N/A,1678742693,0,0 ft,0 ft,7 kts,261°,0 fpm
35,A320,U2,EZY,37000,EZY13YQ,LGW,468,153,406D8E,2f8298f1,55.5897,-4.304,U28508,0,KEF,G-EZOI,N/A,1678742755,0,37000 ft,370 FL,468 kts,153°,0 fpm
36,A319,U2,EZY,15600,EJU8015,BOD,328,200,440132,2f829ab1,45.6207,-0.1507,U28015,0,LGW,OE-LQI,N/A,1678742755,-1920,15600 ft,156 FL,328 kts,200°,-1920 fpm
37,A320,U2,EZY,15350,EJU4470,LYS,282,252,440096,2f829af8,45.1824,6.045,U24470,0,FCO,OE-IVR,N/A,1678742757,-704,15350 ft,153 FL,282 kts,252°,-704 fpm
38,A20N,U2,EZY,36025,EZY2086,LTN,432,312,40757F,2f829c64,38.8559,26.3486,U22086,0,TLV,G-UZHP,N/A,1678742754,-64,36025 ft,360 FL,432 kts,312°,-64 fpm
39,A320,U2,EZY,5200,EZY51BJ,LGW,158,291,406D90,2f829ccd,51.1894,0.1508,U28070,0,VCE,G-EZOK,N/A,1678742755,-1024,5200 ft,5200 ft,158 kts,291°,-1024 fpm
40,A21N,U2,EZY,34000,EZY13WQ,LGW,408,329,4078F0,2f829d08,37.5388,25.6647,U28866,0,HRG,G-UZMJ,N/A,1678742757,64,34000 ft,340 FL,408 kts,329°,64 fpm
41,A20N,U2,EZY,11775,EZY51UD,BRS,318,48,407567,2f829d09,51.1579,-3.3367,U26036,0,MAD,G-UZHM,N/A,1678742756,-1024,11775 ft,117 FL,318 kts,48°,-1024 fpm
42,A320,U2,EZY,1775,EJU31QA,CDG,126,264,440219,2f829d23,48.9986,2.6745,U23908,0,MAD,OE-IZJ,N/A,1678742755,-640,1775 ft,1775 ft,126 kts,264°,-640 fpm
43,A320,U2,EZY,11575,EZS34HW,GVA,300,45,4B1A2B,2f829de0,46.1919,6.2449,U21346,0,FCO,HB-JXR,N/A,1678742757,-1024,11575 ft,115 FL,300 kts,45°,-1024 fpm
44,A20N,U2,EZY,23975,EZS12DL,BSL,514,60,4B0274,2f829e08,46.6589,3.467,U21068,0,AGP,HB-AYE,N/A,1678742756,-2688,23975 ft,239 FL,514 kts,60°,-2688 fpm
45,A20N,U2,EZY,36000,EZY32EN,MAN,464,9,407794,2f829e56,48.4803,-1.6986,U21867,0,AGP,G-UZLB,N/A,1678742756,0,36000 ft,360 FL,464 kts,9°,0 fpm
46,A319,U2,EZY,3225,EZY78TN,LGW,130,258,406133,2f829e5b,51.1758,0.0111,U28268,0,CPH,G-EZFR,N/A,1678742754,-128,3225 ft,3225 ft,130 kts,258°,-128 fpm
47,A21N,U2,EZY,34000,EZY79TQ,LGW,406,324,407666,2f829e8d,43.7267,7.57,U28258,0,FCO,G-UZMC,N/A,1678742756,-64,34000 ft,340 FL,406 kts,324°,-64 fpm
48,A319,U2,EZY,36025,EZY97DX,LGW,436,22,400FDA,2f829ef1,41.7627,-5.5082,U28150,0,AGA,G-EZBI,N/A,1678742757,64,36025 ft,360 FL,436 kts,22°,64 fpm
49,A320,U2,EZY,36000,EZY85EH,BRS,431,3,40643C,2f82a29e,47.222,-3.7633,U26254,0,LIS,G-EZUA,N/A,1678742757,0,36000 ft,360 FL,431 kts,3°,0 fpm
50,A320,U2,EZY,37025,EJU4257,NAP,485,103,440090,2f82a2d6,42.3044,12.5945,U24257,0,ORY,OE-IVL,N/A,1678742755,0,37025 ft,370 FL,485 kts,103°,0 fpm
51,A320,U2,EZY,35000,EZY82TZ,MAN,461,150,40643A,2f82a34e,57.9521,-6.4007,U21806,0,KEF,G-EZTZ,N/A,1678742755,0,35000 ft,350 FL,461 kts,150°,0 fpm
52,A21N,U2,EZY,35950,EZY21HR,LGW,412,292,4078EF,2f82a477,50.5329,6.549,U28428,0,BUD,G-UZMI,N/A,1678742757,64,35950 ft,359 FL,412 kts,292°,64 fpm
53,A320,U2,EZY,4500,EZY83JX,CDG,146,239,406016,2f82a47a,49.0206,2.9512,U26953,0,EDI,G-EZTM,N/A,1678742757,64,4500 ft,4500 ft,146 kts,239°,64 fpm
54,A20N,U2,EZY,36000,EZS18TE,BSL,388,299,4B0281,2f82a52d,46.4103,10.2219,U21188,0,PRN,HB-AYR,N/A,1678742755,-64,36000 ft,360 FL,388 kts,299°,-64 fpm
55,A320,U2,EZY,12575,EJU91PT,CDG,260,256,44028C,2f82a56d,49.4415,3.5821,U23828,0,CPH,OE-INI,N/A,1678742755,-960,12575 ft,125 FL,260 kts,256°,-960 fpm
56,A319,U2,EZY,29500,EZY65WC,VRN,390,173,405638,2f82a762,46.5659,10.668,U28451,0,LGW,G-EZDJ,N/A,1678742755,-1024,29500 ft,295 FL,390 kts,173°,-1024 fpm
57,A20N,U2,EZY,34000,EZY35HC,LGW,407,311,40768A,2f82a8ae,39.6262,25.2331,U28970,0,LCA,G-UZHV,N/A,1678742757,64,34000 ft,340 FL,407 kts,311°,64 fpm
58,A320,U2,EZY,27725,EZS46VB,BSL,453,64,4B1A23,2f82a8c1,46.485,2.9572,U21134,0,OPO,HB-JXJ,N/A,1678742757,-1536,27725 ft,277 FL,453 kts,64°,-1536 fpm
59,A320,U2,EZY,22850,EJU71CD,BER,445,32,440145,2f82aa44,47.4571,6.7364,U21595,0,GVA,OE-IZS,N/A,1678742757,2240,22850 ft,228 FL,445 kts,32°,2240 fpm
60,A320,U2,EZY,36025,EZS84BX,GVA,523,54,4B1A1E,2f82ab26,43.7402,1.8832,U21448,0,LIS,HB-JXE,N/A,1678742756,64,36025 ft,360 FL,523 kts,54°,64 fpm
61,A20N,U2,EZY,38000,EJU37PK,LIS,394,252,440CBF,2f82ab63,43.1839,0.2052,U22717,0,MXP,OE-LSO,N/A,1678742757,0,38000 ft,380 FL,394 kts,252°,0 fpm
62,A320,U2,EZY,2800,EZS37QZ,BOD,147,225,4B1A65,2f82aba6,44.9276,-0.5738,U21373,0,GVA,HB-JZX,N/A,1678742755,-768,2800 ft,2800 ft,147 kts,225°,-768 fpm
63,A20N,U2,EZY,36000,EZY73GV,LGW,453,16,407687,2f82ac76,36.5281,-10.7429,U28538,0,FUE,G-UZHS,N/A,1678742756,0,36000 ft,360 FL,453 kts,16°,0 fpm
64,A320,U2,EZY,37975,EZY83CP,LGW,429,324,406A95,2f82ac8d,46.8444,8.3317,U28532,0,NAP,G-EZWU,N/A,1678742755,-64,37975 ft,379 FL,429 kts,324°,-64 fpm
65,A320,DS,EZY,6075,EZS9077,BSL,251,355,4B1A28,2f82accb,47.7661,7.2694,DS9077,0,BER,HB-JXO,N/A,1678742755,-768,6075 ft,6075 ft,251 kts,355°,-768 fpm
66,A21N,U2,EZY,34000,EZY56AK,LGW,459,20,407838,2f82ad25,36.3885,-11.289,U28706,0,TFS,G-UZMH,N/A,1678742756,0,34000 ft,340 FL,459 kts,20°,0 fpm
67,A320,U2,EZY,34725,EZY96LY,GVA,427,157,406CD2,2f82adbc,47.6597,3.3131,U21953,0,MAN,G-EZOF,N/A,1678742754,-1024,34725 ft,347 FL,427 kts,157°,-1024 fpm
68,A320,U2,EZY,0,EJU806Z,CDG,19,343,440CA9,2f82ade1,49.0027,2.5541,U23996,1,NCE,OE-IZN,N/A,1678742751,0,0 ft,0 ft,19 kts,343°,0 fpm
69,A319,U2,EZY,18375,EJU369P,PMO,380,152,44061D,2f82aef5,39.4329,12.6076,U22811,0,MXP,OE-LQQ,N/A,1678742755,-1024,18375 ft,183 FL,380 kts,152°,-1024 fpm
70,A20N,U2,EZY,39000,EJU314T,CTA,482,153,440C83,2f82afae,39.2139,13.8969,U22847,0,MXP,OE-LSM,N/A,1678742756,0,39000 ft,390 FL,482 kts,153°,0 fpm
71,A320,U2,EZY,36025,EJU95MQ,MXP,523,78,440040,2f82b1b4,42.7473,-0.5243,U22716,0,LIS,OE-ICU,N/A,1678742757,0,36025 ft,360 FL,523 kts,78°,0 fpm
72,A320,U2,EZY,37050,EJU81CT,OPO,374,253,44017C,2f82b30d,43.633,2.1174,U27580,0,MXP,OE-IJH,N/A,1678742757,0,37050 ft,370 FL,374 kts,253°,0 fpm
73,A320,U2,EZY,29025,EJU12TX,ORY,418,306,440209,2f82b3e7,47.4141,4.8119,U24296,0,VCE,OE-IZH,N/A,1678742757,-128,29025 ft,290 FL,418 kts,306°,-128 fpm
74,A320,U2,EZY,0,EJU17ME,BER,21,70,440030,2f82b417,52.3567,13.5018,U25108,1,AMS,OE-IVB,N/A,1678742757,0,0 ft,0 ft,21 kts,70°,0 fpm
75,A320,U2,EZY,37975,EZY65RM,LGW,436,336,40756F,2f82b53e,44.963,-0.1582,U28578,0,BCN,G-EZGY,N/A,1678742757,0,37975 ft,379 FL,436 kts,336°,0 fpm
76,A320,U2,EZY,36000,EZY69QN,LGW,442,21,406666,2f82b56c,38.5765,-5.0648,U28896,0,RAK,G-EZUL,N/A,1678742756,0,36000 ft,360 FL,442 kts,21°,0 fpm
77,A21N,U2,EZY,32675,EJU13NF,TLS,517,78,44079A,2f82b585,42.6766,-0.9887,U27363,0,LIS,OE-ISG,N/A,1678742756,-896,32675 ft,326 FL,517 kts,78°,-896 fpm
78,A320,U2,EZY,37000,EJU13UV,LIS,439,202,4401C3,2f82b6ac,46.1284,-4.6585,U28721,0,LGW,OE-IJJ,N/A,1678742757,0,37000 ft,370 FL,439 kts,202°,0 fpm
79,A320,U2,EZY,35975,EZY28HF,MAN,434,22,406668,2f82b6b3,38.9002,-12.7249,U21826,0,FNC,G-EZUN,N/A,1678742756,0,35975 ft,359 FL,434 kts,22°,0 fpm
80,A320,U2,EZY,35975,EZY89QV,GLA,469,347,406FD8,2f82b7e1,44.4532,0.3715,U26878,0,ALC,G-EZPB,N/A,1678742756,-64,35975 ft,359 FL,469 kts,347°,-64 fpm
81,A319,U2,EZY,26950,EJU18DP,MXP,336,232,440625,2f82b806,46.2016,10.2085,U22586,0,PRG,OE-LKM,N/A,1678742755,-960,26950 ft,269 FL,336 kts,232°,-960 fpm
82,A319,U2,EZY,38025,EZY9004,LGW,371,261,406445,2f82b8ef,51.9651,5.3377,U29004,0,BER,G-EZGH,N/A,1678742757,0,38025 ft,380 FL,371 kts,261°,0 fpm
83,A320,U2,EZY,36000,EZY49LM,LGW,404,290,406014,2f82b9c1,50.7576,5.7647,U28986,0,MUC,G-EZTJ,N/A,1678742757,0,36000 ft,360 FL,404 kts,290°,0 fpm
84,A320,U2,EZY,27025,EJU64JL,MXP,387,339,440185,2f82ba40,44.2374,9.4444,U22886,0,NAP,OE-IJI,N/A,1678742755,-832,27025 ft,270 FL,387 kts,339°,-832 fpm
85,A319,U2,EZY,38075,EZY79GL,LTN,470,28,40631B,2f82ba41,43.6661,-4.4911,U22368,0,LIS,G-EZFW,N/A,1678742757,64,38075 ft,380 FL,470 kts,28°,64 fpm
86,A20N,U2,EZY,31000,EZS49HN,GVA,325,205,4B0280,2f82baa9,47.6641,6.5629,U21358,0,AMS,HB-AYQ,N/A,1678742755,0,31000 ft,310 FL,325 kts,205°,0 fpm
87,A319,U2,EZY,23375,EZY754A,ABZ,392,351,4010ED,2f82baae,56.2441,-3.3118,U2873,0,LGW,G-EZBY,N/A,1678742755,-2432,23375 ft,233 FL,392 kts,351°,-2432 fpm
88,A319,U2,EZY,1925,EZY18YR,LGW,135,258,400EFF,2f82bab5,51.161,-0.0972,U2856,0,IOM,G-EZBE,N/A,1678742756,-640,1925 ft,1925 ft,135 kts,258°,-640 fpm
89,A320,U2,EZY,19000,EZS401X,BSL,265,257,4B1A27,2f82badb,46.5133,7.6553,U21004,0,NCE,HB-JXN,N/A,1678742755,-64,19000 ft,190 FL,265 kts,257°,-64 fpm
90,A320,U2,EZY,8200,EJU16RW,VCE,322,109,440CB1,2f82bb15,45.3724,11.6896,U24465,0,LYS,OE-IZF,N/A,1678742756,-1536,8200 ft,8200 ft,322 kts,109°,-1536 fpm
91,A320,EC,EZY,38025,EJU9073,ORY,373,239,440469,2f82bb1f,50.6996,6.5498,EC9073,0,BER,OE-ICR,N/A,1678742755,64,38025 ft,380 FL,373 kts,239°,64 fpm
92,A320,U2,EZY,21075,EZS18EH,GVA,278,212,4B1A1A,2f82bb56,46.939,6.3107,U21538,0,BRU,HB-JXA,N/A,1678742755,-960,21075 ft,210 FL,278 kts,212°,-960 fpm
93,A320,U2,EZY,38025,EZY53ZW,BFS,420,311,40666A,2f82bbb4,53.043,-1.8404,U26724,0,CDG,G-EZUP,N/A,1678742756,-64,38025 ft,380 FL,420 kts,311°,-64 fpm
94,A319,U2,EZY,38050,EZY75VL,LTN,448,10,400F02,2f82bbea,44.8387,-2.5053,U22204,0,MAD,G-EZBH,N/A,1678742756,-64,38050 ft,380 FL,448 kts,10°,-64 fpm
95,A320,U2,EZY,35975,EZS48KF,GVA,494,53,4B1A26,2f82bc04,43.7011,1.4329,U21418,0,MAD,HB-JXM,N/A,1678742755,0,35975 ft,359 FL,494 kts,53°,0 fpm
96,A319,U2,EZY,38050,EZY69XP,LTN,432,308,406442,2f82bc42,49.3585,2.7503,U22046,0,ZRH,G-EZGE,N/A,1678742755,-64,38050 ft,380 FL,432 kts,308°,-64 fpm
97,A319,U2,EZY,35975,EJU48MD,MXP,394,326,440C36,2f82bc8a,41.3914,11.7445,U22850,0,CTA,OE-LKX,N/A,1678742756,0,35975 ft,359 FL,394 kts,326°,0 fpm
98,A320,U2,EZY,32500,EJU54HE,CDG,463,326,4401DC,2f82bcba,47.5837,4.7012,U22791,0,MXP,OE-IZQ,N/A,1678742757,-2624,32500 ft,325 FL,463 kts,326°,-2624 fpm
99,A319,U2,EZY,25275,EZY658Q,GLA,394,346,405635,2f82bcbc,53.1148,-1.8472,U2514,0,BHX,G-EZDF,N/A,1678742756,1792,25275 ft,252 FL,394 kts,346°,1792 fpm
100,A319,U2,EZY,37650,EZY9009,LGW,377,243,4010EB,2f82bd39,51.8701,3.6131,U29009,0,HAM,G-EZBW,N/A,1678742756,-1152,37650 ft,376 FL,377 kts,243°,-1152 fpm
101,A319,U2,EZY,22575,EJU615D,BOD,310,253,440582,2f82bd5f,45.1891,0.5214,U24307,0,LYS,OE-LKF,N/A,1678742756,-1664,22575 ft,225 FL,310 kts,253°,-1664 fpm
102,A20N,U2,EZY,30550,EZS53HP,GVA,360,132,4B027E,2f82be48,47.3388,3.5265,U28482,0,LGW,HB-AYO,N/A,1678742754,-1024,30550 ft,305 FL,360 kts,132°,-1024 fpm
103,A319,U2,EZY,6175,EZY81QB,BRS,220,234,400EFC,2f82be80,51.447,-2.2853,U26168,0,AMS,G-EZBB,N/A,1678742757,-512,6175 ft,6175 ft,220 kts,234°,-512 fpm
104,A319,U2,EZY,39075,EJU74PF,MXP,421,171,44039E,2f82be92,47.9394,8.191,U22730,0,AMS,OE-LKI,N/A,1678742757,0,39075 ft,390 FL,421 kts,171°,0 fpm
105,A319,U2,EZY,31700,EJU619L,LIL,432,29,4403F0,2f82bfa7,48.4601,1.6519,U21703,0,TLS,OE-LQF,N/A,1678742757,-512,31700 ft,317 FL,432 kts,29°,-512 fpm
106,A320,U2,EZY,25150,EJU868K,ORY,482,332,4408A2,2f82c011,47.581,3.8641,U24070,0,NCE,OE-IJS,N/A,1678742754,-1728,25150 ft,251 FL,482 kts,332°,-1728 fpm
107,A20N,U2,EZY,38000,EZY48MB,LTN,442,332,4073A0,2f82c045,47.0919,4.3804,U22130,0,NCE,G-UZHC,N/A,1678742756,-64,38000 ft,380 FL,442 kts,332°,-64 fpm
108,A320,U2,EZY,38000,EZY26MP,BRS,470,16,406FDA,2f82c084,42.0025,1.0087,U26074,0,ALC,G-EZPD,N/A,1678742757,0,38000 ft,380 FL,470 kts,16°,0 fpm
109,A319,U2,EZY,36025,EZY63MN,LPL,450,339,4010E9,2f82c165,42.6404,0.9376,U27124,0,ALC,G-EZBU,N/A,1678742755,-320,36025 ft,360 FL,450 kts,339°,-320 fpm
110,A319,U2,EZY,39050,EJU82BH,BCN,418,175,44056B,2f82c2e7,45.3339,2.5552,U23921,0,CDG,OE-LKD,N/A,1678742756,-128,39050 ft,390 FL,418 kts,175°,-128 fpm
111,A21N,U2,EZY,24075,EJU7343,MAD,442,84,440610,2f82c2f2,39.9131,-5.0854,U27343,0,LIS,OE-ISD,N/A,1678742754,-1088,24075 ft,240 FL,442 kts,84°,-1088 fpm
112,A319,U2,EZY,13300,EZY76XZ,LGW,340,138,405B66,2f82c346,51.2848,-0.6586,U2840,0,BFS,G-EZDM,N/A,1678742756,-1728,13300 ft,133 FL,340 kts,138°,-1728 fpm
113,A20N,U2,EZY,37925,EJU51TR,AMS,413,231,440C34,2f82c3b2,53.5375,7.6798,U27924,0,CPH,OE-LSI,N/A,1678742755,-896,37925 ft,379 FL,413 kts,231°,-896 fpm
114,A320,U2,EZY,38025,EZY89WC,MAN,408,263,406B90,2f82c3da,55.3688,7.0039,U21988,0,CPH,G-EZWX,N/A,1678742757,0,38025 ft,380 FL,408 kts,263°,0 fpm
115,A319,U2,EZY,24075,EZY267,BFS,305,303,40653D,2f82c40a,54.194,-4.6638,U2267,0,STN,G-EZGN,N/A,1678742756,-1920,24075 ft,240 FL,305 kts,303°,-1920 fpm
116,A320,U2,EZY,34025,EZS1064,BSL,478,29,4B1A1B,2f82c4ac,42.4676,5.3088,U21064,0,PMI,HB-JXB,N/A,1678742754,64,34025 ft,340 FL,478 kts,29°,64 fpm
117,A319,U2,EZY,20500,EZY63QR,LTN,393,343,405B65,2f82c5f3,41.6305,1.683,U22268,0,BCN,G-EZDL,N/A,1678742757,2496,20500 ft,205 FL,393 kts,343°,2496 fpm
118,A320,U2,EZY,27775,EJU39DQ,AMS,401,317,440037,2f82c6ba,50.7997,4.6879,U21046,0,BSL,OE-IJR,N/A,1678742755,-2112,27775 ft,277 FL,401 kts,317°,-2112 fpm
119,A320,U2,EZY,30400,EZY63GA,MAN,467,15,406B91,2f82c72a,39.4306,0.0223,U21922,0,ALC,G-EZWY,N/A,1678742755,1664,30400 ft,304 FL,467 kts,15°,1664 fpm
120,A320,U2,EZY,37000,EJU92WP,OPO,344,262,4400B7,2f82c74a,45.7566,6.6457,U27594,0,ZRH,OE-IZL,N/A,1678742756,0,37000 ft,370 FL,344 kts,262°,0 fpm
121,A320,U2,EZY,37000,EZY75YX,LGW,428,335,40622B,2f82c7b9,45.6995,5.3291,U28360,0,NCE,G-EZTT,N/A,1678742756,64,37000 ft,370 FL,428 kts,335°,64 fpm
122,A319,U2,EZY,38025,EZY96CX,LGW,456,45,400E59,2f82c7e1,40.6583,-6.7394,U28720,0,LIS,G-EZAW,N/A,1678742755,-64,38025 ft,380 FL,456 kts,45°,-64 fpm
123,A319,U2,EZY,14575,EJU42NJ,AMS,367,70,44034B,2f82c7e5,52.4299,3.5271,U28883,0,LGW,OE-LQR,N/A,1678742756,-1792,14575 ft,145 FL,367 kts,70°,-1792 fpm
124,A320,U2,EZY,34025,EZY61ZV,BRS,437,339,406E69,2f82c88b,42.5149,1.0383,U26040,0,PMI,G-EZOX,N/A,1678742756,64,34025 ft,340 FL,437 kts,339°,64 fpm
125,A320,U2,EZY,36000,EZY34CR,BRS,416,358,406669,2f82c895,39.8062,-3.5695,U26054,0,AGP,G-EZUO,N/A,1678742755,0,36000 ft,360 FL,416 kts,358°,0 fpm
126,A319,U2,EZY,37000,EZY48EQ,MAD,429,198,40653E,2f82c908,49.2455,-2.3003,U28283,0,LGW,G-EZGO,N/A,1678742755,0,37000 ft,370 FL,429 kts,198°,0 fpm
127,A319,U2,EZY,21050,EJU19LP,BER,344,171,4405EA,2f82c965,53.4082,13.6156,U25690,0,CPH,OE-LQT,N/A,1678742756,-1984,21050 ft,210 FL,344 kts,171°,-1984 fpm
128,A20N,U2,EZY,36500,EZY17UJ,LPL,426,323,407793,2f82c971,47.4053,4.6287,U27292,0,GVA,G-UZLA,N/A,1678742756,320,36500 ft,365 FL,426 kts,323°,320 fpm
