origin_airport_icao,origin_airport_iata,origin_airport_name,origin_city,region,country_code,origin_lat,origin_long,timezone,destination_airport_icao,destination_airport_iata,destination_airport_name,destination_airport_shortName,destination_airport_municipalityName,dest_lat,dest_long,destination_airport_countryCode,daily_flights,flight_time
BIKF,KEF,Keflavik International Airport,Reykjavik,Southern Peninsula,IS,63.98500061,-22.60560036,Atlantic/Reykjavik,EGCC,MAN,Manchester,Manchester,Manchester,53.3537,-2.27495,GB,3.29,02:40:00
BIKF,KEF,Keflavik International Airport,Reykjavik,Southern Peninsula,IS,63.98500061,-22.60560036,Atlantic/Reykjavik,EGKK,LGW,London Gatwick,London,Gatwick,51.1481,-0.190277,GB,2.86,03:10:00
BIKF,KEF,Keflavik International Airport,Reykjavik,Southern Peninsula,IS,63.98500061,-22.60560036,Atlantic/Reykjavik,EGGW,LTN,London Luton,London,Luton,51.8747,-0.368333,GB,1.86,02:55:00
BIKF,KEF,Keflavik International Airport,Reykjavik,Southern Peninsula,IS,63.98500061,-22.60560036,Atlantic/Reykjavik,EGGD,BRS,Bristol,Bristol,Bristol,51.3827,-2.719089,GB,1,02:55:00
BIKF,KEF,Keflavik International Airport,Reykjavik,Southern Peninsula,IS,63.98500061,-22.60560036,Atlantic/Reykjavik,LIMC,MXP,Malpensa,Milan,Malpensa,45.6306,8.72811,IT,0.86,04:25:00
BIKF,KEF,Keflavik International Airport,Reykjavik,Southern Peninsula,IS,63.98500061,-22.60560036,Atlantic/Reykjavik,EGPH,EDI,Edinburgh,Edinburgh,Edinburgh,55.95,-3.372499,GB,0.57,02:20:00
EDDB,BER,Berlin Brandenburg Airport,Berlin,Brandenburg,DE,52.362167,13.500667,Europe/Berlin,LSZH,ZRH,Kloten,Zurich,Kloten,47.4647,8.549169,CH,7.57,01:30:00
EDDB,BER,Berlin Brandenburg Airport,Berlin,Brandenburg,DE,52.362167,13.500667,Europe/Berlin,EHAM,AMS,Amsterdam Schiphol,Amsterdam,Schiphol,52.3086,4.763889,NL,7.29,01:30:00
EDDB,BER,Berlin Brandenburg Airport,Berlin,Brandenburg,DE,52.362167,13.500667,Europe/Berlin,LFPG,CDG,Charles de Gaulle,Paris,Charles de Gaulle,49.0128,2.549999,FR,6.86,01:50:00
EDDB,BER,Berlin Brandenburg Airport,Berlin,Brandenburg,DE,52.362167,13.500667,Europe/Berlin,LEBL,BCN,Barcelona,Barcelona,Barcelona,41.2971,2.078459,ES,4.14,02:35:00
EDDB,BER,Berlin Brandenburg Airport,Berlin,Brandenburg,DE,52.362167,13.500667,Europe/Berlin,LEPA,PMI,Palma De Mallorca,Palma De Mallorca,Palma De Mallorca,39.5517,2.73881,ES,4,02:45:00
