origin_airport;destination_airport_icao;destination_airport_iata;destination_airport_name;destination_airport_shortName;destination_airport_municipalityName;destination_airport_location;destination_airport_countryCode;daily_flights;0;1;2;3;4;5;6;7;8;9
BIKF;EGCC;MAN;Manchester;Manchester;Manchester;{'lat': 53.3537, 'lon': -2.27495};GB;3.29;BIKF;KEF;Keflavik International Airport;Reykjavik;Southern Peninsula;IS;63.9850006104;-22.6056003571;Atlantic/Reykjavik;
BIKF;EGKK;LGW;London Gatwick, London;Gatwick;London;{'lat': 51.1481, 'lon': -0.190277};GB;2.86;BIKF;KEF;Keflavik International Airport;Reykjavik;Southern Peninsula;IS;63.9850006104;-22.6056003571;Atlantic/Reykjavik;
BIKF;EGGW;LTN;London Luton, London;Luton;London;{'lat': 51.8747, 'lon': -0.368333};GB;1.86;BIKF;KEF;Keflavik International Airport;Reykjavik;Southern Peninsula;IS;63.9850006104;-22.6056003571;Atlantic/Reykjavik;
BIKF;EGGD;BRS;Bristol, Bristol;Bristol;Bristol;{'lat': 51.3827, 'lon': -2.719089};GB;1.0;BIKF;KEF;Keflavik International Airport;Reykjavik;Southern Peninsula;IS;63.9850006104;-22.6056003571;Atlantic/Reykjavik;
BIKF;LIMC;MXP;Malpensa, Milan;Malpensa;Milan;{'lat': 45.6306, 'lon': 8.72811};IT;0.86;BIKF;KEF;Keflavik International Airport;Reykjavik;Southern Peninsula;IS;63.9850006104;-22.6056003571;Atlantic/Reykjavik;
BIKF;EGPH;EDI;Edinburgh, Edinburgh;Edinburgh;EGPH;{'lat': 55.95, 'lon': -3.372499};GB;0.57;BIKF;KEF;Keflavik International Airport;Reykjavik;Southern Peninsula;IS;63.9850006104;-22.6056003571;Atlantic/Reykjavik;
EDDB;LSZH;ZRH;Kloten, Zurich;Kloten;Zurich;{'lat': 47.4647, 'lon': 8.549169};CH;7.57;EDDB;BER;Berlin Brandenburg Airport;Berlin;Brandenburg;DE;52.362167;13.500667;Europe/Berlin;
EDDB;EHAM;AMS;Amsterdam Schiphol, Amsterdam;Schiphol;Amsterdam;{'lat': 52.3086, 'lon': 4.763889};NL;7.29;EDDB;BER;Berlin Brandenburg Airport;Berlin;Brandenburg;DE;52.362167;13.500667;Europe/Berlin;
EDDB;LFPG;CDG;Charles de Gaulle, Paris;Charles de Gaulle;Paris;{'lat': 49.0128, 'lon': 2.549999};FR;6.86;EDDB;BER;Berlin Brandenburg Airport;Berlin;Brandenburg;DE;52.362167;13.500667;Europe/Berlin;
EDDB;LEBL;BCN;Barcelona, Barcelona;Barcelona;LEBL;{'lat': 41.2971, 'lon': 2.078459};ES;4.14;EDDB;BER;Berlin Brandenburg Airport;Berlin;Brandenburg;DE;52.362167;13.500667;Europe/Berlin;
