,icao,Total Time Delayed,iata,name,city,subd,country,elevation,lat,lon,tz,lid,Time_delayed_scale
0,EHAM,207875,AMS,Amsterdam Airport Schiphol,Amsterdam,North Holland,NL,-11.0,52.3086013794,4.7638897896,Europe/Amsterdam,,5.317802262227576
1,LFPG,204649,CDG,Charles de Gaulle International Airport,Paris,Ile-de-France,FR,392.0,49.0127983093,2.5499999523,Europe/Paris,,5.3110096268432825
2,LEMD,175979,MAD,Madrid Barajas International Airport,Madrid,Madrid,ES,2001.0,40.4936,-3.56676,Europe/Madrid,,5.245460845494462
3,LEBL,141727,BCN,Barcelona International Airport,Barcelona,Catalonia,ES,12.0,41.2971000671,2.0784599781,Europe/Madrid,,5.1514525943124
4,EDDM,141065,MUC,Munich International Airport,Munich,Bayern,DE,1487.0,48.3538017273,11.7861003876,Europe/Berlin,,5.149419273198683
5,LEPA,110072,PMI,Palma De Mallorca Airport,Palma De Mallorca,Balearic-Islands,ES,27.0,39.551700592,2.7388100624,Europe/Madrid,,5.041676857645526
6,EGKK,108817,LGW,London Gatwick Airport,London,England,GB,202.0,51.1481018066,-0.1902779937,Europe/London,,5.036696748574064
7,LIRF,106267,FCO,Leonardo Da Vinci (Fiumicino) International Airport,Rome,Latium,IT,15.0,41.8045005798,12.2508001328,Europe/Rome,,5.026398420281077
8,LSZH,105557,ZRH,Zurich Airport,Zurich,Zurich,CH,1416.0,47.4646987915,8.5491695404,Europe/Zurich,,5.023487038785982
9,LGAV,103837,ATH,Eleftherios Venizelos International Airport,Athens,Attica,GR,308.0,37.9364013672,23.9444999695,Europe/Athens,,5.016352132246484
10,LPPT,101265,LIS,Lisbon Portela Airport,Lisbon,Lisbon,PT,374.0,38.7812995911,-9.1359195709,Europe/Lisbon,,5.005459367044502
11,EKCH,101135,CPH,Copenhagen Kastrup Airport,Copenhagen,Capital-Region,DK,17.0,55.6179008484,12.6560001373,Europe/Copenhagen,,5.004901478799332
12,LFPO,99372,ORY,Paris-Orly Airport,Paris,Ile-de-France,FR,291.0,48.7252998352,2.3594400883,Europe/Paris,,4.997264030689812
13,LTAI,95386,AYT,Antalya International Airport,Antalya,Antalya,TR,177.0,36.8987007141,30.8005008698,Europe/Istanbul,,4.979484637084379
