icao,Total Time Delayed
LTFM,211038
EHAM,207875
LFPG,204649
EDDF,191094
EGLL,190212
LEMD,175979
LEBL,141727
EDDM,141065
LEPA,110072
EGKK,108817
LIRF,106267
EIDW,105707
LSZH,105557
LGAV,103837
ENGM,102806
LOWW,102267
LPPT,101265
EKCH,101135
LFPO,99372
LTFJ,97067
LTAI,95386
LIMC,93357
EGSS,87973
EBBR,87119
ESSA,85192
EDDB,81034
EGCC,79268
LSGG,77822
EPWA,72324
LLBG,71851
EDDL,70151
LEMG,69716
LFMN,67572
EFHK,66346
EDDK,59723
GCLP,58933
EGGW,58889
EDDH,51535
LROP,50860
LIML,50590
EGPH,48981
LHBP,48969
LKPR,48070
ENBR,47020
LPPR,46166
LFML,45816
LEAL,44885
LIME,44432
LIRN,42771
LFLL,40282
EGBB,39798
LIPZ,39567
LEIB,39453
EDDP,39147
EDDS,38432
LICC,36544
GCTS,35482
LIPE,35335
ELLX,34926
LFBO,34893
LEVC,34638
GMMN,34549
LFSB,33257
GCXO,33177
LYBE,33048
LTAC,32789
LFPB,31969
EGPF,31876
LTBJ,31579
GCRR,31288
EGGD,30132
ENZV,30128
LPFR,29651
EGNX,29337
EBCI,28744
EPKK,28708
LGIR,28322
LICJ,27808
LFBD,27505
EVRA,27318
ENVA,27159
LEZL,26563
LBSF,26483
LCLK,24733
LGTS,24706
LMML,24260
GCFV,23999
ESGG,23733
EGLC,23442
LFRS,23333
EDDV,22432
EGAA,21543
LGRP,21096
LEBB,21048
LDZA,20861
EPGD,20445
LIRA,20350
GMMX,20031
LIRP,19867
LATI,19297
LIMF,19012
EGPD,18434
EPKT,18378
EDDN,18302
EYVI,18015
LEMH,17906
EGNT,17657
UDYZ,17272
EETN,17052
EBLG,16573
ESSB,16438
EGLF,16116
LFOB,15164
LGKR,14708
UGTB,14456
LPMA,14186
LGSA,13541
EHRD,13518
EPWR,13193
EGKB,13110
LFMT,12983
EGAC,12665
LOWS,12419
LIBR,12257
LGSR,12010
LEST,11939
LPPD,11548
EPPO,11358
LCPH,11190
LGKO,10779
EPMO,10623
GCLA,10286
EINN,10274
EDDW,10255
EGHI,10038
EICK,9938
LUKK,9838
LGMK,9593
LTBA,9477
LFQQ,9414
LIPH,9399
EDDG,9071
LFKJ,8954
LJLJ,8785
LZIB,8597
LFMD,8547
LFKB,8494
LWSK,8471
LOWI,7752
GMTT,7668
GMAD,7654
LQSA,7383
EPRZ,7187
LEJR,7143
LOWG,7044
LEGE,7004
LGZA,6676
EBAW,6522
LFST,6373
LFRN,6367
LFRB,6366
LFKF,6264
EDDC,6168
LYPG,6095
LFMP,5995
LFBZ,5911
LFPN,5804
LEAS,5761
GMFF,5554
LEVT,5485
EHGG,5331
LFTH,5288
GMME,5287
LEVX,5050
LOWL,5035
EYKA,4996
LFLY,4964
EHBK,4831
GEML,4766
LEXJ,4763
LEGR,4528
LEZG,4504
LECO,4489
LSGS,4318
LERS,4167
LFBP,4072
EBOS,3954
LFLC,3943
LGKF,3914
LFMV,3869
LFLB,3827
LKTB,3777
LEAM,3752
ENHD,3684
LPCS,3661
LKMT,3616
LFLS,3494
LGPZ,3421
LFBT,3355
LFKC,3338
LRBS,3097
LFBL,3047
LFMU,2869
EIKN,2799
EDDR,2782
GCHI,2647
LFMK,2627
LERT,2566
LPHR,2565
EPSC,2538
LFRK,2481
LGSK,2399
LOWK,2376
LESO,2319
EIKY,2305
LFBH,2291
LFBI,2281
LFTW,2241
LFLP,2066
LFRH,1977
LFBE,1908
EYSA,1895
EGAE,1889
LEVD,1878
LFOK,1870
LEDA,1837
LFMI,1795
EPLB,1779
LFOP,1779
EPLL,1775
LEMO,1770
LFOT,1722
EPBY,1721
LFCR,1716
EYPA,1680
LFSL,1677
LEPP,1665
EDDE,1622
LECU,1566
LFGJ,1482
LFRG,1474
LPAZ,1417
LPPS,1415
EHLE,1406
LFRZ,1389
LESA,1379
LFJL,1236
LFLX,1225
GCGM,1124
LFRD,1123
LFLI,1114
LJPZ,1114
LEBZ,1080
LFRQ,1050
LPFL,1018
LETO,948
LFBA,948
LJMB,897
LELL,863
LFMH,860
LFJR,832
LFRM,827
EIDL,787
LFAQ,738
EPSY,709
EETU,692
LKKV,563
LEGT,560
EVLA,556
LESB,555
LELN,550
EPZG,519
LFOH,497
LEAB,497
LEBG,413
EIWT,365
LERJ,291
EIWF,285
LFRO,273
LEBA,241
LERE,225
LDZL,144
LEIZ,102
LELC,86
LPMT,85
LESJ,35
EISG,29
EVVA,4
EPRA,0
